,alpha,beta,gamma,theta,width,height,area,perimiter,cat1,cat2,cat3
0,0.04216317156600599,0.24102787037691614,0.1462411998674081,0.9240214298563683,19.68794479005958,4.329984241385187,5567.557940715983,180.8315395790609,2,3,dca
1,0.634497286793482,0.2378093343103907,0.5883888058387446,0.9540852367239707,82.23901501222164,3.3894270838813823,7226.85222061522,272.9071575738239,8,2,ccc
2,0.4890619489112422,0.662028537512236,0.7330705480926312,0.562703461635427,46.45535029690473,66.14101726761153,4980.281931222558,188.06652918025807,2,3,cad
3,0.09598435009805449,0.6026606570195534,0.5240550095127761,0.9732447776650663,86.54732333866947,56.899523013199115,854.5002363243159,197.77449550896284,2,4,acd
10,0.4539084192776123,0.2248279678716733,0.9037524101816627,1.5699154901013588,5.305758163764323,1.153433324444583,4386.719519216057,178.5294695123037,9,0,bda
11,0.8665960743594953,0.2390080235612842,0.35268145715013427,0.8555491655608558,52.79737442932961,38.9863354315268,4064.2663071077586,116.22932585910061,6,1,cac
12,0.4692966677112079,0.6984726547857656,0.7915484579727456,1.2203383614646386,84.57077325416391,90.56543612945929,396.3712719005661,287.07747834199205,1,3,cbb
13,0.6376775522269289,0.027721891793575218,0.13707432059850913,1.496030995974204,42.59298627907184,47.866907621663856,5072.162245698164,56.13920345153937,2,1,dac
14,0.4443493255551006,0.11191083776710163,0.15144089335479632,0.9005669777332106,23.24028694212518,92.90487511434398,7373.3597311042895,228.82469469153122,6,0,dab
15,0.02482508665664758,0.8033795270443469,0.12572811825731053,1.659483603280342,54.979560017078946,60.97010793698027,443.2723593391505,248.4095710653445,4,2,aac
16,0.4415258479166134,0.4884897028554327,0.17724738083582975,0.8777510263740053,28.567130502514786,74.04864698926406,5147.727071865159,113.82397947784693,6,0,ccb
17,0.44384571759453256,0.892126437947505,0.8275423133230442,0.639620522736046,74.54767332128613,21.17461838335845,513.044136388415,224.996474134597,6,4,aba
18,0.27949409772866585,0.0003150814771792354,0.5069983539332709,0.6030279096051322,41.930371256972215,49.67119398681402,4753.2555229207765,250.7877683475333,2,1,cab
19,0.6911278651410807,0.02156253657156347,0.982599359132607,0.3982171289547183,25.915186794793495,44.97094229971268,4790.3081959468345,216.99577896155836,4,1,bbb
20,0.08573097343667509,0.6306879542674877,0.9958184869577256,0.9177652618008719,21.257383579249296,67.06022494113523,2822.1054813582546,241.23725912348925,4,1,bdc
21,0.05781166731411732,0.6699421699144532,0.5791184450342441,1.4888629841628085,46.13095729233199,63.187642110007495,3597.6992728837818,111.98792656983045,2,1,abd
22,0.01335573410509576,0.09310745373279301,0.58832755688142,1.509069855066963,41.02210216136116,64.99430466919698,5403.351055343159,164.6774607193932,3,3,daa
23,0.11645127349471802,0.6034988036665552,0.37367371462180554,1.4976966544687438,24.323866025072313,89.97245755549064,4969.725532820078,238.70842558180436,2,3,daa
24,0.3042155223620924,0.6954336750319334,0.15471835734753991,0.4435642808443665,11.184347774419354,84.30555216833139,374.5956245468183,116.8250414369323,5,2,bdc
25,0.09188240720297267,0.31281192563297283,0.4679592588306252,1.1192014173557683,74.46418949848346,19.71635784951657,3200.700706513003,64.44619345722946,3,4,dac
26,0.3182403489066432,0.6624161321656633,0.5114260065419188,0.978155955904151,45.89469059309546,67.45696283152358,4676.823847023366,175.22560372414424,3,2,aac
27,0.22849237901631425,0.4450918237317943,0.9543580314927822,1.0102118481590836,88.88272963091384,19.478477156288072,3640.9107681586524,228.471734359614,2,0,cdd
28,0.6290130839385155,0.6416900401807231,0.2556365731363091,0.8155572763659193,86.18346849060295,10.464063732231113,2837.8222129908804,141.78679192257454,7,4,ddb
29,0.13331720586176823,0.20179069081085207,0.753949418561369,1.638148383404962,44.94457733274116,30.166721984880535,4887.867776360197,296.88783731100466,1,3,bda
30,0.043675297776636826,0.5593426344472797,0.5366591298020101,0.9273219083504932,86.90078811555328,8.862263238797672,2950.1615221256684,169.80157354275644,7,4,caa
31,0.736035189167004,0.6372446509983286,0.586766584257608,0.8780806660505396,68.58001738044375,61.80234440396174,7817.589578917072,229.8442317797564,9,3,aaa
32,0.8497639535583432,0.524909987199964,0.5918348301006635,1.0639409327019511,74.4108780415811,9.151494099094613,1197.9424266911624,97.3073579892753,2,0,ccc
33,0.2149739101452739,0.816273839444869,0.93213038378177,0.5266668173917477,85.17927632428804,94.09009173740083,3117.369172971245,232.2295393801814,4,2,bbd
34,0.21469249221432524,0.4767669934476202,0.5476088304231215,1.0652958776051042,29.45982012907313,24.69052566130879,310.46920222500694,305.7863761441464,7,4,cbd
35,0.8821056233109541,0.07177245126736476,0.58085888394072,1.428295232939857,27.098956541333383,88.51408319432169,990.6333827950474,171.7254913325127,2,1,acd
36,0.444744191453904,0.223065041322496,0.4893153098908519,0.4000391717663228,21.615550233350795,23.403685697208793,1968.6430086235714,105.83955766989027,4,2,dab
37,0.47891558756344543,0.6484451242587286,0.8030512661515802,0.4401369145504338,84.72210160062232,84.9210612391874,5095.8761887003475,176.83886688622687,7,0,cbd
38,0.2587912950184662,0.2010661567251612,0.9491820064717049,0.627268067895224,63.03051313942969,49.91387936396018,5584.182334810488,221.40967157116663,7,2,bcb
39,0.9120990384785717,0.05415364364107398,0.5703801418108586,1.64931672581898,61.477834718202615,82.79784675184877,204.46451763627655,190.9259121366164,8,2,dad
40,0.24125740992328304,0.8891952887304361,0.5569789748554518,0.38132297461951103,85.89069084375616,44.747927412118045,304.7643610865672,105.59621828954104,8,1,dcc
41,0.4523202526749433,0.18980591713899778,0.5133998733831688,0.7455216899082476,41.42375889239523,15.534927094403283,6968.652141282543,234.43845771880916,2,3,cab
42,0.4713713593158645,0.8416220352923638,0.3389020385212245,0.8519959528329404,7.627560800008579,7.341165633112813,3411.9586349345063,185.46849486161722,4,1,dbd
43,0.6866849942688735,0.05309487107014558,0.11307911216785445,0.8382086190639131,83.79733889885615,34.78276682816845,4202.752376991028,172.94181404324274,4,0,bbd
44,0.6618272422664659,0.642315131786914,0.36434477584799896,0.31800759664123535,50.906894411886626,17.110365430647185,4259.257769019063,101.633315039997,5,3,bcb
45,0.793543337655128,0.24864181675525657,0.9489368984616092,0.819814450120695,57.796326302515396,15.31804400893564,5755.853632991075,214.96621661354385,4,1,aac
46,0.02788747938391202,0.4599453847934284,1.01649065903669,1.6328911137743876,63.55122029227411,63.97429159067335,282.67040904456275,166.27111942346662,4,2,dab
47,0.6494806003215369,0.46612457344351893,0.3335934308549085,0.8805063782743784,22.135275271611686,68.73120054921684,345.2180952344303,183.6457006937964,5,0,bda
48,0.5875750035684516,0.051514079873137664,0.4781503561305859,1.570322328815039,88.4699120857422,68.42498982786606,5331.359843631795,125.92186180255794,4,2,bdd
49,0.2618644970190746,0.5919851734491579,0.5720190642470051,0.5734053205399723,38.106582328512005,20.68583120904932,302.71531237396323,168.83675356000845,8,4,bdd
50,0.8147098089325702,0.6462935060175007,0.20697082665311287,0.830670553872275,45.389297492903886,22.80413404168138,4638.1271888547535,233.59197282994063,5,3,abb
51,0.637279842792936,0.8036835839431776,0.20697161657024796,1.1026467471462627,30.76646920891684,3.0695401092299877,4637.968042226348,24.847271665781356,3,2,bdc
52,0.4362179196610111,0.4411908539372188,0.9750490031331343,0.8663493767574392,3.68806365551952,82.71549577264238,4029.3897333730188,186.84053528271593,3,3,bad
53,0.6038351309649767,0.8031827793033275,0.9997098457067306,0.819585908761992,84.91254506110073,62.095422434114646,5172.224404487568,109.77600368109378,3,2,dda
54,0.7553081846713272,0.6508670210689596,0.555531184947014,1.5444681119053862,31.50853130143257,38.84588796318474,5204.218106304382,27.155788120840306,3,4,bba
55,0.06641454161681681,0.04680807319326131,0.5963867263456952,0.8607392131878401,64.43288455265406,88.82801704559493,3053.9787906963393,188.38152321553588,3,3,aca
56,0.8413141922664223,0.04662108348244164,0.5934995484732639,1.084309189283902,49.00570342237297,89.87293529526673,596.2621446065694,187.1317383349383,8,1,abd
