,time,latitude,longitude
4925,1583020911778,53.84635980048691,-0.9508407032949263
5171,1583020919089,46.466608554300976,1.578436793947499
1951,1583021883561,41.56990949363513,0.0
1439,1583021948483,51.475261496850806,-0.12787176889190188
7015,1583022514416,54.32966341550617,0.0
6357,1583022608021,47.315854019456594,0.19931973778484408
2228,1583022703509,48.89730954507783,0.32128172864622184
5165,1583022814836,51.52669007122759,-0.12770709712527947
5008,1583022918880,48.72372012423591,1.3424418148528616
5275,1583023786030,54.02973438886759,0.06943973924008558
1481,1583024025786,51.71501099634582,0.18876940054735197
9199,1583024171129,45.65421283707734,0.2267306983965649
4475,1583024297591,46.58147364774844,2.5240013316149654
9458,1583024500559,51.675684571821904,-31.61709820491803
6815,1583024576989,55.93341587382074,10.540991552374017
6002,1583025009418,57.24816508468071,-70.72159129463535
5720,1583025047365,50.95368040027432,0.009086073728492794
8634,1583025466840,44.73713433808902,0.7179495926533423
3801,1583026172280,47.45873849631887,8.648953826968906
2449,1583026748577,52.476520212725376,0.0
9654,1583027478485,51.94120970550254,-0.5297977547698187
9873,1583028965853,0.0,84.08065154050905
7390,1583029164497,46.72495175117958,0.4782568366269798
4036,1583029520857,40.53351163981067,0.404711402583766
3679,1583029833601,0.0,6.375253574449502
5667,1583030710008,51.52635165187126,-0.12459448008235867
6868,1583030882919,48.4077785092119,1.2199862303374036
1408,1583032123237,46.48916902572154,0.6422991638207318
456,1583032725018,52.56941496260541,2.0984555599163026
300,1583033258639,0.0,179.09166419088888
5715,1583033358403,44.72555654636228,2.5682128912793587
7607,1583033993476,51.475292310088385,-0.12804600267667324
6764,1583034638260,44.75519495089052,0.2651588205308957
6663,1583034982910,-27.177805175410207,88.9139977305663
5553,1583035035623,47.789683630365914,0.0
6460,1583035581692,47.409350202235636,0.9793420908253835
3032,1583035862950,48.11620277455544,-0.0059740231749140366
7337,1583035963828,49.34339865792726,3.6273493677528794
5039,1583036018669,44.85021876116308,0.10910691771518266
6231,1583036176406,51.297402735016675,1.9081172824074968
1563,1583036618930,54.84862606314769,-21.09550009820901
873,1583037466843,53.632917068015956,1.1114559775001058
7707,1583038257655,51.88995849378691,0.15715309905211267
1577,1583038502468,52.293740983310734,0.6388370428937176
7138,1583038720243,48.53397064881509,0.0
8522,1583039282131,53.01723375234151,-1.450446276970955
3299,1583039392283,19.66735886322364,25.31296502004855
8963,1583040325553,51.49457969047915,-0.13251694744298456
5295,1583040725813,49.25033680556741,0.022582938143553943
9719,1583042258694,49.85362207955118,0.0
1148,1583043331035,44.06648919399298,0.9378633619166508
7653,1583043807141,49.72642369576022,0.27171492590703217
3231,1583043837967,43.8727497082148,1.1164652887739772
4245,1583043997488,52.20021925457828,0.0076970594817211135
9848,1583044003170,44.27752250703922,0.0
1743,1583044455272,54.2304681427012,1.1385996542569272
541,1583044530348,51.71975190955362,-0.5232737831328017
8076,1583045065795,51.5464234101277,-0.11481874727062494
7253,1583045343516,44.82896603631263,-0.8187795688229217
6346,1583045986116,77.70850366252199,20.135519991555636
1531,1583046528195,53.30196736984776,-0.6532471569775113
4498,1583046603025,40.97490632308816,0.6887756678303851
3780,1583046695415,47.52162090271173,2.1892376316780844
